mzML	sample	sample_group	injection_idx	polarity	plate	mix	concentration
2016/2016_05/MIX 15K_POS_b.mzML	MIX 15K_POS_b	MIX 15K_b	154	POS	plate_02	MIX15	K
2016/2016_05/MIX 15I_POS_a.mzML	MIX 15I_POS_a	MIX 15I_a	155	POS	plate_02	MIX15	I
2016/2016_05/MIX 15I_POS_b.mzML	MIX 15I_POS_b	MIX 15I_b	156	POS	plate_02	MIX15	I
2016/2016_05/MIX 15H_POS_a.mzML	MIX 15H_POS_a	MIX 15H_a	157	POS	plate_02	MIX15	H
2016/2016_05/MIX 15H_POS_b.mzML	MIX 15H_POS_b	MIX 15H_b	158	POS	plate_02	MIX15	H
2016/2016_05/MIX 15G_POS_a.mzML	MIX 15G_POS_a	MIX 15G_a	159	POS	plate_02	MIX15	G
2016/2016_05/MIX 15G_POS_b.mzML	MIX 15G_POS_b	MIX 15G_b	160	POS	plate_02	MIX15	G
2016/2016_05/MIX 15F_POS_a.mzML	MIX 15F_POS_a	MIX 15F_a	161	POS	plate_02	MIX15	F
2016/2016_05/MIX 15F_POS_b.mzML	MIX 15F_POS_b	MIX 15F_b	162	POS	plate_02	MIX15	F
2016/2016_05/MIX 15E_POS_a.mzML	MIX 15E_POS_a	MIX 15E_a	163	POS	plate_02	MIX15	E
2016/2016_05/MIX 15E_POS_b.mzML	MIX 15E_POS_b	MIX 15E_b	164	POS	plate_02	MIX15	E
2016/2016_05/MIX 15D_POS_a.mzML	MIX 15D_POS_a	MIX 15D_a	165	POS	plate_02	MIX15	D
2016/2016_05/MIX 15D_POS_b.mzML	MIX 15D_POS_b	MIX 15D_b	166	POS	plate_02	MIX15	D
2016/2016_05/MIX 15C_POS_a.mzML	MIX 15C_POS_a	MIX 15C_a	167	POS	plate_02	MIX15	C
2016/2016_05/MIX 15C_POS_b.mzML	MIX 15C_POS_b	MIX 15C_b	168	POS	plate_02	MIX15	C
2016/2016_05/MIX 15B_POS_a.mzML	MIX 15B_POS_a	MIX 15B_a	169	POS	plate_02	MIX15	B
2016/2016_05/MIX 15B_POS_b.mzML	MIX 15B_POS_b	MIX 15B_b	170	POS	plate_02	MIX15	B
2016/2016_05/MIX 15A_POS_a.mzML	MIX 15A_POS_a	MIX 15A_a	171	POS	plate_02	MIX15	A
2016/2016_05/MIX 15A_POS_b.mzML	MIX 15A_POS_b	MIX 15A_b	172	POS	plate_02	MIX15	A
2016/2016_05/060516_Blank_POS_19.mzML	Blank_19	Blank	173	POS	plate_02		
2016/2016_05/060516_Blank_POS_20.mzML	Blank_20	Blank	174	POS	plate_02		
2016/2016_05/MIX 16K_POS_a.mzML	MIX 16K_POS_a	MIX 16K_a	175	POS	plate_02	MIX16	K
2016/2016_05/MIX 16K_POS_b.mzML	MIX 16K_POS_b	MIX 16K_b	176	POS	plate_02	MIX16	K
2016/2016_05/MIX 16I_POS_a.mzML	MIX 16I_POS_a	MIX 16I_a	177	POS	plate_02	MIX16	I
2016/2016_05/MIX 16I_POS_b.mzML	MIX 16I_POS_b	MIX 16I_b	178	POS	plate_02	MIX16	I
2016/2016_05/MIX 16H_POS_a.mzML	MIX 16H_POS_a	MIX 16H_a	179	POS	plate_02	MIX16	H
2016/2016_05/MIX 16H_POS_b.mzML	MIX 16H_POS_b	MIX 16H_b	180	POS	plate_02	MIX16	H
2016/2016_05/MIX 16G_POS_a.mzML	MIX 16G_POS_a	MIX 16G_a	181	POS	plate_02	MIX16	G
2016/2016_05/MIX 16G_POS_b.mzML	MIX 16G_POS_b	MIX 16G_b	182	POS	plate_02	MIX16	G
2016/2016_05/MIX 16F_POS_a.mzML	MIX 16F_POS_a	MIX 16F_a	183	POS	plate_02	MIX16	F
2016/2016_05/MIX 16F_POS_b.mzML	MIX 16F_POS_b	MIX 16F_b	184	POS	plate_02	MIX16	F
2016/2016_05/MIX 16E_POS_a.mzML	MIX 16E_POS_a	MIX 16E_a	185	POS	plate_02	MIX16	E
2016/2016_05/MIX 16E_POS_b.mzML	MIX 16E_POS_b	MIX 16E_b	186	POS	plate_02	MIX16	E
2016/2016_05/MIX 16D_POS_a.mzML	MIX 16D_POS_a	MIX 16D_a	187	POS	plate_02	MIX16	D
2016/2016_05/MIX 16D_POS_b.mzML	MIX 16D_POS_b	MIX 16D_b	188	POS	plate_02	MIX16	D
2016/2016_05/MIX 16C_POS_a.mzML	MIX 16C_POS_a	MIX 16C_a	189	POS	plate_02	MIX16	C
2016/2016_05/MIX 16C_POS_b.mzML	MIX 16C_POS_b	MIX 16C_b	190	POS	plate_02	MIX16	C
2016/2016_05/MIX 16B_POS_a.mzML	MIX 16B_POS_a	MIX 16B_a	191	POS	plate_02	MIX16	B
2016/2016_05/MIX 16B_POS_b.mzML	MIX 16B_POS_b	MIX 16B_b	192	POS	plate_02	MIX16	B
2016/2016_05/MIX 16A_POS_a.mzML	MIX 16A_POS_a	MIX 16A_a	193	POS	plate_02	MIX16	A
2016/2016_05/MIX 16A_POS_b.mzML	MIX 16A_POS_b	MIX 16A_b	194	POS	plate_02	MIX16	A
2016/2016_05/060516_Blank_POS_21.mzML	Blank_21	Blank	195	POS	plate_02		
2016/2016_05/060516_Blank_POS_22.mzML	Blank_22	Blank	196	POS	plate_02		
2016/2016_05/MIX 17K_POS_a.mzML	MIX 17K_POS_a	MIX 17K_a	197	POS	plate_02	MIX17	K
2016/2016_05/MIX 17K_POS_b.mzML	MIX 17K_POS_b	MIX 17K_b	198	POS	plate_02	MIX17	K
2016/2016_05/MIX 17I_POS_a.mzML	MIX 17I_POS_a	MIX 17I_a	199	POS	plate_02	MIX17	I
2016/2016_05/MIX 17I_POS_b.mzML	MIX 17I_POS_b	MIX 17I_b	200	POS	plate_02	MIX17	I
2016/2016_05/MIX 17H_POS_a.mzML	MIX 17H_POS_a	MIX 17H_a	201	POS	plate_02	MIX17	H
2016/2016_05/MIX 17H_POS_b.mzML	MIX 17H_POS_b	MIX 17H_b	202	POS	plate_02	MIX17	H
2016/2016_05/MIX 17G_POS_a.mzML	MIX 17G_POS_a	MIX 17G_a	203	POS	plate_02	MIX17	G
2016/2016_05/MIX 17G_POS_b.mzML	MIX 17G_POS_b	MIX 17G_b	204	POS	plate_02	MIX17	G
2016/2016_05/MIX 17F_POS_a.mzML	MIX 17F_POS_a	MIX 17F_a	205	POS	plate_02	MIX17	F
2016/2016_05/MIX 17F_POS_b.mzML	MIX 17F_POS_b	MIX 17F_b	206	POS	plate_02	MIX17	F
2016/2016_05/MIX 17E_POS_a.mzML	MIX 17E_POS_a	MIX 17E_a	207	POS	plate_02	MIX17	E
2016/2016_05/MIX 17E_POS_b.mzML	MIX 17E_POS_b	MIX 17E_b	208	POS	plate_02	MIX17	E
2016/2016_05/MIX 17D_POS_a.mzML	MIX 17D_POS_a	MIX 17D_a	209	POS	plate_02	MIX17	D
2016/2016_05/MIX 17D_POS_b.mzML	MIX 17D_POS_b	MIX 17D_b	210	POS	plate_02	MIX17	D
2016/2016_05/MIX 17C_POS_a.mzML	MIX 17C_POS_a	MIX 17C_a	211	POS	plate_02	MIX17	C
2016/2016_05/MIX 17C_POS_b.mzML	MIX 17C_POS_b	MIX 17C_b	212	POS	plate_02	MIX17	C
2016/2016_05/MIX 17B_POS_a.mzML	MIX 17B_POS_a	MIX 17B_a	213	POS	plate_02	MIX17	B
2016/2016_05/MIX 17B_POS_b.mzML	MIX 17B_POS_b	MIX 17B_b	214	POS	plate_02	MIX17	B
2016/2016_05/MIX 17A_POS_a.mzML	MIX 17A_POS_a	MIX 17A_a	215	POS	plate_02	MIX17	A
2016/2016_05/MIX 17A_POS_b.mzML	MIX 17A_POS_b	MIX 17A_b	216	POS	plate_02	MIX17	A
2016/2016_05/020516_Blank_NEG_1.mzML	Blank_01	Blank	1	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_2.mzML	Blank_02	Blank	2	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_3.mzML	Blank_03	Blank	3	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_4.mzML	Blank_04	Blank	4	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_1.mzML	EQ_01	Equilibration Mix	5	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_2.mzML	EQ_02	Equilibration Mix	6	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_3.mzML	EQ_03	Equilibration Mix	7	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_4.mzML	EQ_04	Equilibration Mix	8	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_5.mzML	EQ_05	Equilibration Mix	9	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_6.mzML	EQ_06	Equilibration Mix	10	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_7.mzML	EQ_07	Equilibration Mix	11	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_8.mzML	EQ_08	Equilibration Mix	12	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_9.mzML	EQ_09	Equilibration Mix	13	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_10.mzML	EQ_10	Equilibration Mix	14	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_11.mzML	EQ_11	Equilibration Mix	15	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_12.mzML	EQ_12	Equilibration Mix	16	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_13.mzML	EQ_13	Equilibration Mix	17	NEG	plate_01		
2016/2016_05/020516_Equilibration Mix_NEG_14.mzML	EQ_14	Equilibration Mix	18	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_5.mzML	Blank_05	Blank	19	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_6.mzML	Blank_06	Blank	20	NEG	plate_01		
2016/2016_05/MIX 1K_NEG_a.mzML	MIX 1K_NEG_a	MIX 1K_a	21	NEG	plate_01	MIX01	K
2016/2016_05/MIX 1K_NEG_b.mzML	MIX 1K_NEG_b	MIX 1K_b	22	NEG	plate_01	MIX01	K
2016/2016_05/MIX 1I_NEG_a.mzML	MIX 1I_NEG_a	MIX 1I_a	23	NEG	plate_01	MIX01	I
2016/2016_05/MIX 1I_NEG_b.mzML	MIX 1I_NEG_b	MIX 1I_b	24	NEG	plate_01	MIX01	I
2016/2016_05/MIX 1H_NEG_a.mzML	MIX 1H_NEG_a	MIX 1H_a	25	NEG	plate_01	MIX01	H
2016/2016_05/MIX 1H_NEG_b.mzML	MIX 1H_NEG_b	MIX 1H_b	26	NEG	plate_01	MIX01	H
2016/2016_05/MIX 1G_NEG_a.mzML	MIX 1G_NEG_a	MIX 1G_a	27	NEG	plate_01	MIX01	G
2016/2016_05/MIX 1G_NEG_b.mzML	MIX 1G_NEG_b	MIX 1G_b	28	NEG	plate_01	MIX01	G
2016/2016_05/MIX 1F_NEG_a.mzML	MIX 1F_NEG_a	MIX 1F_a	29	NEG	plate_01	MIX01	F
2016/2016_05/MIX 1F_NEG_b.mzML	MIX 1F_NEG_b	MIX 1F_b	30	NEG	plate_01	MIX01	F
2016/2016_05/MIX 1E_NEG_a.mzML	MIX 1E_NEG_a	MIX 1E_a	31	NEG	plate_01	MIX01	E
2016/2016_05/MIX 1E_NEG_b.mzML	MIX 1E_NEG_b	MIX 1E_b	32	NEG	plate_01	MIX01	E
2016/2016_05/MIX 1D_NEG_a.mzML	MIX 1D_NEG_a	MIX 1D_a	33	NEG	plate_01	MIX01	D
2016/2016_05/MIX 1D_NEG_b.mzML	MIX 1D_NEG_b	MIX 1D_b	34	NEG	plate_01	MIX01	D
2016/2016_05/MIX 1C_NEG_a.mzML	MIX 1C_NEG_a	MIX 1C_a	35	NEG	plate_01	MIX01	C
2016/2016_05/MIX 1C_NEG_b.mzML	MIX 1C_NEG_b	MIX 1C_b	36	NEG	plate_01	MIX01	C
2016/2016_05/MIX 1B_NEG_a.mzML	MIX 1B_NEG_a	MIX 1B_a	37	NEG	plate_01	MIX01	B
2016/2016_05/MIX 1B_NEG_b.mzML	MIX 1B_NEG_b	MIX 1B_b	38	NEG	plate_01	MIX01	B
2016/2016_05/MIX 1A_NEG_a.mzML	MIX 1A_NEG_a	MIX 1A_a	39	NEG	plate_01	MIX01	A
2016/2016_05/MIX 1A_NEG_b.mzML	MIX 1A_NEG_b	MIX 1A_b	40	NEG	plate_01	MIX01	A
2016/2016_05/020516_Blank_NEG_7.mzML	Blank_07	Blank	41	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_8.mzML	Blank_08	Blank	42	NEG	plate_01		
2016/2016_05/MIX 2K_NEG_a.mzML	MIX 2K_NEG_a	MIX 2K_a	43	NEG	plate_01	MIX02	K
2016/2016_05/MIX 2K_NEG_b.mzML	MIX 2K_NEG_b	MIX 2K_b	44	NEG	plate_01	MIX02	K
2016/2016_05/MIX 2I_NEG_a.mzML	MIX 2I_NEG_a	MIX 2I_a	45	NEG	plate_01	MIX02	I
2016/2016_05/MIX 2I_NEG_b.mzML	MIX 2I_NEG_b	MIX 2I_b	46	NEG	plate_01	MIX02	I
2016/2016_05/MIX 2H_NEG_a.mzML	MIX 2H_NEG_a	MIX 2H_a	47	NEG	plate_01	MIX02	H
2016/2016_05/MIX 2H_NEG_b.mzML	MIX 2H_NEG_b	MIX 2H_b	48	NEG	plate_01	MIX02	H
2016/2016_05/MIX 2G_NEG_a.mzML	MIX 2G_NEG_a	MIX 2G_a	49	NEG	plate_01	MIX02	G
2016/2016_05/MIX 2G_NEG_b.mzML	MIX 2G_NEG_b	MIX 2G_b	50	NEG	plate_01	MIX02	G
2016/2016_05/MIX 2F_NEG_a.mzML	MIX 2F_NEG_a	MIX 2F_a	51	NEG	plate_01	MIX02	F
2016/2016_05/MIX 2F_NEG_b.mzML	MIX 2F_NEG_b	MIX 2F_b	52	NEG	plate_01	MIX02	F
2016/2016_05/MIX 2E_NEG_a.mzML	MIX 2E_NEG_a	MIX 2E_a	53	NEG	plate_01	MIX02	E
2016/2016_05/MIX 2E_NEG_b.mzML	MIX 2E_NEG_b	MIX 2E_b	54	NEG	plate_01	MIX02	E
2016/2016_05/MIX 2D_NEG_a.mzML	MIX 2D_NEG_a	MIX 2D_a	55	NEG	plate_01	MIX02	D
2016/2016_05/MIX 2D_NEG_b.mzML	MIX 2D_NEG_b	MIX 2D_b	56	NEG	plate_01	MIX02	D
2016/2016_05/MIX 2C_NEG_a.mzML	MIX 2C_NEG_a	MIX 2C_a	57	NEG	plate_01	MIX02	C
2016/2016_05/MIX 2C_NEG_b.mzML	MIX 2C_NEG_b	MIX 2C_b	58	NEG	plate_01	MIX02	C
2016/2016_05/MIX 2B_NEG_a.mzML	MIX 2B_NEG_a	MIX 2B_a	59	NEG	plate_01	MIX02	B
2016/2016_05/MIX 2B_NEG_b.mzML	MIX 2B_NEG_b	MIX 2B_b	60	NEG	plate_01	MIX02	B
2016/2016_05/MIX 2A_NEG_a.mzML	MIX 2A_NEG_a	MIX 2A_a	61	NEG	plate_01	MIX02	A
2016/2016_05/MIX 2A_NEG_b.mzML	MIX 2A_NEG_b	MIX 2A_b	62	NEG	plate_01	MIX02	A
2016/2016_05/020516_Blank_NEG_9.mzML	Blank_09	Blank	63	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_10.mzML	Blank_10	Blank	64	NEG	plate_01		
2016/2016_05/MIX 3K_NEG_a.mzML	MIX 3K_NEG_a	MIX 3K_a	65	NEG	plate_01	MIX03	K
2016/2016_05/MIX 3K_NEG_b.mzML	MIX 3K_NEG_b	MIX 3K_b	66	NEG	plate_01	MIX03	K
2016/2016_05/MIX 3I_NEG_a.mzML	MIX 3I_NEG_a	MIX 3I_a	67	NEG	plate_01	MIX03	I
2016/2016_05/MIX 3I_NEG_b.mzML	MIX 3I_NEG_b	MIX 3I_b	68	NEG	plate_01	MIX03	I
2016/2016_05/MIX 3H_NEG_a.mzML	MIX 3H_NEG_a	MIX 3H_a	69	NEG	plate_01	MIX03	H
2016/2016_05/MIX 3H_NEG_b.mzML	MIX 3H_NEG_b	MIX 3H_b	70	NEG	plate_01	MIX03	H
2016/2016_05/MIX 3G_NEG_a.mzML	MIX 3G_NEG_a	MIX 3G_a	71	NEG	plate_01	MIX03	G
2016/2016_05/MIX 3G_NEG_b.mzML	MIX 3G_NEG_b	MIX 3G_b	72	NEG	plate_01	MIX03	G
2016/2016_05/MIX 3F_NEG_a.mzML	MIX 3F_NEG_a	MIX 3F_a	73	NEG	plate_01	MIX03	F
2016/2016_05/MIX 3F_NEG_b.mzML	MIX 3F_NEG_b	MIX 3F_b	74	NEG	plate_01	MIX03	F
2016/2016_05/MIX 3E_NEG_a.mzML	MIX 3E_NEG_a	MIX 3E_a	75	NEG	plate_01	MIX03	E
2016/2016_05/MIX 3E_NEG_b.mzML	MIX 3E_NEG_b	MIX 3E_b	76	NEG	plate_01	MIX03	E
2016/2016_05/MIX 3D_NEG_a.mzML	MIX 3D_NEG_a	MIX 3D_a	77	NEG	plate_01	MIX03	D
2016/2016_05/MIX 3D_NEG_b.mzML	MIX 3D_NEG_b	MIX 3D_b	78	NEG	plate_01	MIX03	D
2016/2016_05/MIX 3C_NEG_a.mzML	MIX 3C_NEG_a	MIX 3C_a	79	NEG	plate_01	MIX03	C
2016/2016_05/MIX 3C_NEG_b.mzML	MIX 3C_NEG_b	MIX 3C_b	80	NEG	plate_01	MIX03	C
2016/2016_05/MIX 3B_NEG_a.mzML	MIX 3B_NEG_a	MIX 3B_a	81	NEG	plate_01	MIX03	B
2016/2016_05/MIX 3B_NEG_b.mzML	MIX 3B_NEG_b	MIX 3B_b	82	NEG	plate_01	MIX03	B
2016/2016_05/MIX 3A_NEG_a.mzML	MIX 3A_NEG_a	MIX 3A_a	83	NEG	plate_01	MIX03	A
2016/2016_05/MIX 3A_NEG_b.mzML	MIX 3A_NEG_b	MIX 3A_b	84	NEG	plate_01	MIX03	A
2016/2016_05/020516_Blank_NEG_11.mzML	Blank_11	Blank	85	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_12.mzML	Blank_12	Blank	86	NEG	plate_01		
2016/2016_05/MIX 4K_NEG_a.mzML	MIX 4K_NEG_a	MIX 4K_a	87	NEG	plate_01	MIX04	K
2016/2016_05/MIX 4K_NEG_b.mzML	MIX 4K_NEG_b	MIX 4K_b	88	NEG	plate_01	MIX04	K
2016/2016_05/MIX 4I_NEG_a.mzML	MIX 4I_NEG_a	MIX 4I_a	89	NEG	plate_01	MIX04	I
2016/2016_05/MIX 4I_NEG_b.mzML	MIX 4I_NEG_b	MIX 4I_b	90	NEG	plate_01	MIX04	I
2016/2016_05/MIX 4H_NEG_a.mzML	MIX 4H_NEG_a	MIX 4H_a	91	NEG	plate_01	MIX04	H
2016/2016_05/MIX 4H_NEG_b.mzML	MIX 4H_NEG_b	MIX 4H_b	92	NEG	plate_01	MIX04	H
2016/2016_05/MIX 4G_NEG_a.mzML	MIX 4G_NEG_a	MIX 4G_a	93	NEG	plate_01	MIX04	G
2016/2016_05/MIX 4G_NEG_b.mzML	MIX 4G_NEG_b	MIX 4G_b	94	NEG	plate_01	MIX04	G
2016/2016_05/MIX 4F_NEG_a.mzML	MIX 4F_NEG_a	MIX 4F_a	95	NEG	plate_01	MIX04	F
2016/2016_05/MIX 4F_NEG_b.mzML	MIX 4F_NEG_b	MIX 4F_b	96	NEG	plate_01	MIX04	F
2016/2016_05/MIX 4E_NEG_a.mzML	MIX 4E_NEG_a	MIX 4E_a	97	NEG	plate_01	MIX04	E
2016/2016_05/MIX 4E_NEG_b.mzML	MIX 4E_NEG_b	MIX 4E_b	98	NEG	plate_01	MIX04	E
2016/2016_05/MIX 4D_NEG_a.mzML	MIX 4D_NEG_a	MIX 4D_a	99	NEG	plate_01	MIX04	D
2016/2016_05/MIX 4D_NEG_b.mzML	MIX 4D_NEG_b	MIX 4D_b	100	NEG	plate_01	MIX04	D
2016/2016_05/MIX 4C_NEG_a.mzML	MIX 4C_NEG_a	MIX 4C_a	101	NEG	plate_01	MIX04	C
2016/2016_05/MIX 4C_NEG_b.mzML	MIX 4C_NEG_b	MIX 4C_b	102	NEG	plate_01	MIX04	C
2016/2016_05/MIX 4B_NEG_a.mzML	MIX 4B_NEG_a	MIX 4B_a	103	NEG	plate_01	MIX04	B
2016/2016_05/MIX 4B_NEG_b.mzML	MIX 4B_NEG_b	MIX 4B_b	104	NEG	plate_01	MIX04	B
2016/2016_05/MIX 4A_NEG_a.mzML	MIX 4A_NEG_a	MIX 4A_a	105	NEG	plate_01	MIX04	A
2016/2016_05/MIX 4A_NEG_b.mzML	MIX 4A_NEG_b	MIX 4A_b	106	NEG	plate_01	MIX04	A
2016/2016_05/020516_Blank_NEG_13.mzML	Blank_13	Blank	107	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_14.mzML	Blank_14	Blank	108	NEG	plate_01		
2016/2016_05/MIX 5K_NEG_a.mzML	MIX 5K_NEG_a	MIX 5K_a	109	NEG	plate_01	MIX05	K
2016/2016_05/MIX 5K_NEG_b.mzML	MIX 5K_NEG_b	MIX 5K_b	110	NEG	plate_01	MIX05	K
2016/2016_05/MIX 5I_NEG_a.mzML	MIX 5I_NEG_a	MIX 5I_a	111	NEG	plate_01	MIX05	I
2016/2016_05/MIX 5I_NEG_b.mzML	MIX 5I_NEG_b	MIX 5I_b	112	NEG	plate_01	MIX05	I
2016/2016_05/MIX 5H_NEG_a.mzML	MIX 5H_NEG_a	MIX 5H_a	113	NEG	plate_01	MIX05	H
2016/2016_05/MIX 5H_NEG_b.mzML	MIX 5H_NEG_b	MIX 5H_b	114	NEG	plate_01	MIX05	H
2016/2016_05/MIX 5G_NEG_a.mzML	MIX 5G_NEG_a	MIX 5G_a	115	NEG	plate_01	MIX05	G
2016/2016_05/MIX 5G_NEG_b.mzML	MIX 5G_NEG_b	MIX 5G_b	116	NEG	plate_01	MIX05	G
2016/2016_05/MIX 5F_NEG_a.mzML	MIX 5F_NEG_a	MIX 5F_a	117	NEG	plate_01	MIX05	F
2016/2016_05/MIX 5F_NEG_b.mzML	MIX 5F_NEG_b	MIX 5F_b	118	NEG	plate_01	MIX05	F
2016/2016_05/MIX 5E_NEG_a.mzML	MIX 5E_NEG_a	MIX 5E_a	119	NEG	plate_01	MIX05	E
2016/2016_05/MIX 5E_NEG_b.mzML	MIX 5E_NEG_b	MIX 5E_b	120	NEG	plate_01	MIX05	E
2016/2016_05/MIX 5D_NEG_a.mzML	MIX 5D_NEG_a	MIX 5D_a	121	NEG	plate_01	MIX05	D
2016/2016_05/MIX 5D_NEG_b.mzML	MIX 5D_NEG_b	MIX 5D_b	122	NEG	plate_01	MIX05	D
2016/2016_05/MIX 5C_NEG_a.mzML	MIX 5C_NEG_a	MIX 5C_a	123	NEG	plate_01	MIX05	C
2016/2016_05/MIX 5C_NEG_b.mzML	MIX 5C_NEG_b	MIX 5C_b	124	NEG	plate_01	MIX05	C
2016/2016_05/MIX 5B_NEG_a.mzML	MIX 5B_NEG_a	MIX 5B_a	125	NEG	plate_01	MIX05	B
2016/2016_05/MIX 5B_NEG_b.mzML	MIX 5B_NEG_b	MIX 5B_b	126	NEG	plate_01	MIX05	B
2016/2016_05/MIX 5A_NEG_a.mzML	MIX 5A_NEG_a	MIX 5A_a	127	NEG	plate_01	MIX05	A
2016/2016_05/MIX 5A_NEG_b.mzML	MIX 5A_NEG_b	MIX 5A_b	128	NEG	plate_01	MIX05	A
2016/2016_05/020516_Blank_NEG_15.mzML	Blank_15	Blank	129	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_16.mzML	Blank_16	Blank	130	NEG	plate_01		
2016/2016_05/MIX 6K_NEG_a.mzML	MIX 6K_NEG_a	MIX 6K_a	131	NEG	plate_01	MIX06	K
2016/2016_05/MIX 6K_NEG_b.mzML	MIX 6K_NEG_b	MIX 6K_b	132	NEG	plate_01	MIX06	K
2016/2016_05/MIX 6I_NEG_a.mzML	MIX 6I_NEG_a	MIX 6I_a	133	NEG	plate_01	MIX06	I
2016/2016_05/MIX 6I_NEG_b.mzML	MIX 6I_NEG_b	MIX 6I_b	134	NEG	plate_01	MIX06	I
2016/2016_05/MIX 6H_NEG_a.mzML	MIX 6H_NEG_a	MIX 6H_a	135	NEG	plate_01	MIX06	H
2016/2016_05/MIX 6H_NEG_b.mzML	MIX 6H_NEG_b	MIX 6H_b	136	NEG	plate_01	MIX06	H
2016/2016_05/MIX 6G_NEG_a.mzML	MIX 6G_NEG_a	MIX 6G_a	137	NEG	plate_01	MIX06	G
2016/2016_05/MIX 6G_NEG_b.mzML	MIX 6G_NEG_b	MIX 6G_b	138	NEG	plate_01	MIX06	G
2016/2016_05/MIX 6F_NEG_a.mzML	MIX 6F_NEG_a	MIX 6F_a	139	NEG	plate_01	MIX06	F
2016/2016_05/MIX 6F_NEG_b.mzML	MIX 6F_NEG_b	MIX 6F_b	140	NEG	plate_01	MIX06	F
2016/2016_05/MIX 6E_NEG_a.mzML	MIX 6E_NEG_a	MIX 6E_a	141	NEG	plate_01	MIX06	E
2016/2016_05/MIX 6E_NEG_b.mzML	MIX 6E_NEG_b	MIX 6E_b	142	NEG	plate_01	MIX06	E
2016/2016_05/MIX 6D_NEG_a.mzML	MIX 6D_NEG_a	MIX 6D_a	143	NEG	plate_01	MIX06	D
2016/2016_05/MIX 6D_NEG_b.mzML	MIX 6D_NEG_b	MIX 6D_b	144	NEG	plate_01	MIX06	D
2016/2016_05/MIX 6C_NEG_a.mzML	MIX 6C_NEG_a	MIX 6C_a	145	NEG	plate_01	MIX06	C
2016/2016_05/MIX 6C_NEG_b.mzML	MIX 6C_NEG_b	MIX 6C_b	146	NEG	plate_01	MIX06	C
2016/2016_05/MIX 6B_NEG_a.mzML	MIX 6B_NEG_a	MIX 6B_a	147	NEG	plate_01	MIX06	B
2016/2016_05/MIX 6B_NEG_b.mzML	MIX 6B_NEG_b	MIX 6B_b	148	NEG	plate_01	MIX06	B
2016/2016_05/MIX 6A_NEG_a.mzML	MIX 6A_NEG_a	MIX 6A_a	149	NEG	plate_01	MIX06	A
2016/2016_05/MIX 6A_NEG_b.mzML	MIX 6A_NEG_b	MIX 6A_b	150	NEG	plate_01	MIX06	A
2016/2016_05/020516_Blank_NEG_17.mzML	Blank_17	Blank	151	NEG	plate_01		
2016/2016_05/020516_Blank_NEG_18.mzML	Blank_18	Blank	152	NEG	plate_01		
2016/2016_05/MIX 7K_NEG_a.mzML	MIX 7K_NEG_a	MIX 7K_a	153	NEG	plate_01	MIX07	K
2016/2016_05/MIX 7K_NEG_b.mzML	MIX 7K_NEG_b	MIX 7K_b	154	NEG	plate_01	MIX07	K
2016/2016_05/MIX 7I_NEG_a.mzML	MIX 7I_NEG_a	MIX 7I_a	155	NEG	plate_01	MIX07	I
2016/2016_05/MIX 7I_NEG_b.mzML	MIX 7I_NEG_b	MIX 7I_b	156	NEG	plate_01	MIX07	I
2016/2016_05/MIX 7H_NEG_a.mzML	MIX 7H_NEG_a	MIX 7H_a	157	NEG	plate_01	MIX07	H
2016/2016_05/MIX 7H_NEG_b.mzML	MIX 7H_NEG_b	MIX 7H_b	158	NEG	plate_01	MIX07	H
2016/2016_05/MIX 7G_NEG_a.mzML	MIX 7G_NEG_a	MIX 7G_a	159	NEG	plate_01	MIX07	G
2016/2016_05/MIX 7G_NEG_b.mzML	MIX 7G_NEG_b	MIX 7G_b	160	NEG	plate_01	MIX07	G
2016/2016_05/MIX 7F_NEG_a.mzML	MIX 7F_NEG_a	MIX 7F_a	161	NEG	plate_01	MIX07	F
2016/2016_05/MIX 7F_NEG_b.mzML	MIX 7F_NEG_b	MIX 7F_b	162	NEG	plate_01	MIX07	F
